Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Thumbnail,Thumbnail Background,Tagline,Project Link,Project Lead,Twitter of Project Lead,Airtable ID,Project Description,Main Content,Featured Projects
NodeAir,node-air-8,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36306,false,false,Wed Nov 23 2022 00:23:42 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:22:40 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ef_oa4IbI5RFwHv46fqdES-ezsTZgIVZHI4ceEUfIXo3Ow.png,,Dashboard for Solana,https://nodeair.io,Bolt,https://twitter.com/0xBolt,recOJ9A1awwFnxakV,"NodeAir is a Solana dashboard which utilizes charts and graphs to show wallet details such as transaction history and tokens. A person can also create their profile using which one can view not only theirs but other wallet insights as well.
",,false
NodeAir,node-air-d,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3638f,false,false,Wed Nov 23 2022 01:49:13 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:01:27 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ef_oa4IbI5RFwHv46fqdES-ezsTZgIVZHI4ceEUfIXo3Ow.png,,Dashboard for Solana,https://nodeair.io,Bolt,https://twitter.com/0xBolt,recGgNAjE7f7aXml2,"NodeAir is a Solana dashboard which utilizes charts and graphs to show wallet details such as transaction history and tokens. A person can also create their profile using which one can view not only theirs but other wallet insights as well.
",,false
One UPI,one-upi,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36263,false,false,Thu Aug 18 2022 20:21:18 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:10:13 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36295_ZhjGQ3v64_pBj20ts3yA7HUugDPbq3kchKwcz5nGGqk.png,,Decentralized UPI settlements,https://oneupi.com/,Mahesh Jadhav,https://twitter.com/thisismaheshj,rec1uEJPVvweHkBtw,"OneUPI is a Solana-powered **0% commission** payment gateway with **Instant Settlement and No commission**, **no setup fee** & **no maintenance charges**.
",,true
One UPI,one-upi-1,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e362fc,false,false,Wed Nov 23 2022 00:23:32 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:01:05 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36295_ZhjGQ3v64_pBj20ts3yA7HUugDPbq3kchKwcz5nGGqk.png,,Decentralized UPI settlements,https://oneupi.com/,Mahesh Jadhav,https://twitter.com/thisismaheshj,rech9DxRtQN8qhwFq,"OneUPI is a Solana-powered **0% commission** payment gateway with **Instant Settlement and No commission**, **no setup fee** & **no maintenance charges**.
",,true
One UPI,one-upi-c,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e363a5,false,false,Wed Nov 23 2022 01:49:32 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:03:27 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36295_ZhjGQ3v64_pBj20ts3yA7HUugDPbq3kchKwcz5nGGqk.png,,Decentralized UPI settlements,https://oneupi.com/,Mahesh Jadhav,https://twitter.com/thisismaheshj,recA8WpE4m6NvRxz3,"OneUPI is a Solana-powered **0% commission** payment gateway with **Instant Settlement and No commission**, **no setup fee** & **no maintenance charges**.
",,true
Raid,raid,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3627c,false,false,Fri Aug 12 2022 01:47:04 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:15:53 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ed_Kwa9mjRETrt4AawR0jLiOTaN8OVD49KYwyXO3rL3HgM.jpeg,,Smart contract automation protocol,https://raid.farm,ap,https://twitter.com/ayshptk,recKAGiGbAW7t47z8,"We are a trigger-based automation framework - we connect on-chain/off-chain data triggers seamlessly to perform actions while being extremely customisable and developer-friendly. 
",,false
Raid,raid-7,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36313,false,false,Wed Nov 23 2022 00:23:54 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:03:35 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ed_Kwa9mjRETrt4AawR0jLiOTaN8OVD49KYwyXO3rL3HgM.jpeg,,Smart contract automation protocol,https://raid.farm,ap,https://twitter.com/ayshptk,recwffUt6IfnA5cpf,"We are a trigger-based automation framework - we connect on-chain/off-chain data triggers seamlessly to perform actions while being extremely customisable and developer-friendly. 
",,false
Raid,raid-4,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36393,false,false,Wed Nov 23 2022 01:49:16 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:35:54 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ed_Kwa9mjRETrt4AawR0jLiOTaN8OVD49KYwyXO3rL3HgM.jpeg,,Smart contract automation protocol,https://raid.farm,ap,https://twitter.com/ayshptk,recG9dW3isFwc9KKi,"We are a trigger-based automation framework - we connect on-chain/off-chain data triggers seamlessly to perform actions while being extremely customisable and developer-friendly. 
",,false
Solace Protocol,solace-protocol,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3621c,false,false,Thu Aug 11 2022 12:03:45 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:02:08 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361f2_LPppAsY77KrmPnK8IvJy9N45DBbEZIwLXitJ5dvbZtc.png,,Wallet Security Protocol,https://solace.money/,Ashwin Prasad,https://twitter.com/Solaceprotocolh,rec8qRkKwrc7h3sAa,"A self custodial program based wallet for Solana which eliminates the need of a seed phrase and enhances security using social recovery.
",,false
Solace Protocol,solace-protocol-e,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3630a,false,false,Wed Nov 23 2022 00:23:46 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:01:29 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361f2_LPppAsY77KrmPnK8IvJy9N45DBbEZIwLXitJ5dvbZtc.png,,Wallet Security Protocol,https://solace.money/,Ashwin Prasad,https://twitter.com/Solaceprotocolh,recxRW81Qp6VH2ZmE,"A self custodial program based wallet for Solana which eliminates the need of a seed phrase and enhances security using social recovery.
",,false
Solace Protocol,solace-protocol-d,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e363a7,false,false,Wed Nov 23 2022 01:49:33 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 07:52:11 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361f2_LPppAsY77KrmPnK8IvJy9N45DBbEZIwLXitJ5dvbZtc.png,,Wallet Security Protocol,https://solace.money/,Ashwin Prasad,https://twitter.com/Solaceprotocolh,recs9Q8xA2qDTmOsh,"A self custodial program based wallet for Solana which eliminates the need of a seed phrase and enhances security using social recovery.
",,false
Solana Developer Series,solana-developer-series,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36231,false,false,Fri Aug 12 2022 13:05:08 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:40:18 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36294_nP5cwh3k4QNvrgTBJWyp7bOI6lIv0iJPIJNTv6qvdSc.png,,8 videos to get you started on solana development,https://super.page/solana-dev-series,Kirat,https://twitter.com/harkirat961,recZZLNSkOXWFIx4g,"8 videos to get you started on Solana development. The videos take you through the basics of blockchains, and how Solana differentiates itself from other L1s.
It also dives deeper into creating and deploying your first program, and writing clients to interact with it.
",,false
